count_id,date,entity_id,entity_type,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,contacts,source_id,confidence,data_status,notes
ct_20260514_drc_inrb_umie,2026-05-14,drc_total,country_total,8,246,4,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; deces suspects non communiques.
ct_20260517_drc_inrb_umie,2026-05-17,drc_total,country_total,13,246,4,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; deces suspects non communiques.
ct_20260517_uganda,2026-05-17,uganda_total,country_total,2,,,1,,deep_report_initial_2026_05_20,high,confirmed,Deux cas confirmes a Kampala dont un deces selon synthese initiale.
ct_20260518_drc_inrb_umie,2026-05-18,drc_total,country_total,33,516,4,131,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260519_drc_inrb_umie,2026-05-19,drc_total,country_total,51,575,4,148,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260520_drc_inrb_umie,2026-05-20,drc_total,country_total,64,671,6,160,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260520_bunia,2026-05-20,bunia,health_zone,6,,,,,deep_report_initial_2026_05_20,medium,provisional,Repartition INSP par zone.
ct_20260520_butembo,2026-05-20,butembo,health_zone,1,,,,,deep_report_initial_2026_05_20,medium,provisional,Repartition INSP par zone.
ct_20260520_goma,2026-05-20,goma,health_zone,1,,,,,deep_report_initial_2026_05_20,medium,provisional,Repartition INSP par zone.
ct_20260520_katwa,2026-05-20,katwa,health_zone,1,,,,,deep_report_initial_2026_05_20,medium,provisional,Repartition INSP par zone.
ct_20260520_mongbwalu,2026-05-20,mongbwalu,health_zone,13,,,,77,deep_report_initial_2026_05_20,medium,provisional,Mongbwalu concentre 77 deces suspects.
ct_20260520_nyankunde,2026-05-20,nyankunde,health_zone,4,,,,,deep_report_initial_2026_05_20,medium,provisional,Repartition INSP par zone.
ct_20260520_rwampara,2026-05-20,rwampara,health_zone,25,,,,,deep_report_initial_2026_05_20,medium,provisional,Repartition INSP par zone.
ct_20260521_drc_inrb_umie,2026-05-21,drc_total,country_total,83,746,9,176,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260522_drc_inrb_umie,2026-05-22,drc_total,country_total,91,867,10,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; deces suspects non communiques.
ct_20260523_drc_inrb_umie,2026-05-23,drc_total,country_total,101,904,10,220,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260524_drc_inrb_umie,2026-05-24,drc_total,country_total,105,906,10,223,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260525_drc_inrb_umie,2026-05-25,drc_total,country_total,106,998,12,238,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260525_uganda,2026-05-25,uganda_total,country_total,7,,,1,,ap_2026_05_25_uganda_7,high,confirmed,Ouganda porte son total a 7 cas confirmes.
ct_20260526_drc_inrb_umie,2026-05-26,drc_total,country_total,121,1077,17,246,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260527_drc_inrb_umie,2026-05-27,drc_total,country_total,125,906,17,223,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; revision des deces suspects dans la serie INRB-UMIE.
ct_20260528_drc_inrb_umie,2026-05-28,drc_total,country_total,210,349,17,236,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition.
ct_20260529_drc_inrb_umie,2026-05-29,drc_total,country_total,263,349,42,236,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260530_drc_inrb_umie,2026-05-30,drc_total,country_total,238,321,42,236,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; revision retroactive des cas confirmes documentee dans le staging; baisse des suspects liee a revision/reclassement ou definition.
ct_20260531_drc_inrb_umie,2026-05-31,drc_total,country_total,321,220,48,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; deces suspects non communiques.
ct_20260601_drc_inrb_umie,2026-06-01,drc_total,country_total,344,289,60,242,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires.
ct_20260602_drc_inrb_umie,2026-06-02,drc_total,country_total,363,206,62,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; deces suspects non communiques.
ct_20260603_drc_inrb_umie,2026-06-03,drc_total,country_total,381,,64,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; deces suspects non communiques.
ct_20260604_drc_inrb_umie,2026-06-04,drc_total,country_total,452,153,82,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; deces suspects non communiques.
ct_20260605_drc_inrb_umie,2026-06-05,drc_total,country_total,488,119,86,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; deces suspects non communiques.
ct_20260606_drc_inrb_umie,2026-06-06,drc_total,country_total,515,117,91,,,inrb_umie_2026_06_08_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot fd27d5c du 2026-06-08; source structuree unique pour la serie nationale; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; deces suspects non communiques.
ct_20260607_drc_inrb_umie,2026-06-07,drc_total,country_total,550,94,101,242,,inrb_umie_2026_06_09_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 4735863 du 2026-06-09; donnees preliminaires; baisse des suspects liee a revision/reclassement ou definition; deces suspects 242 affiches avec asterisque sur la plateforme INRB-UMIE et interpretes comme derniere mesure connue/reportee.
ct_20260608_drc_inrb_umie,2026-06-08,drc_total,country_total,598,138,115,,,inrb_umie_2026_06_13_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 6f156b6 du 2026-06-13; donnees preliminaires; deces suspects non communiques.
ct_20260609_drc_inrb_umie,2026-06-09,drc_total,country_total,635,119,127,,,inrb_umie_2026_06_13_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 6f156b6 du 2026-06-13; donnees preliminaires; deces suspects non communiques.
ct_20260610_drc_inrb_umie,2026-06-10,drc_total,country_total,676,119,136,,,inrb_umie_2026_06_13_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 6f156b6 du 2026-06-13; donnees preliminaires; deces suspects non communiques.
ct_20260611_drc_inrb_umie,2026-06-11,drc_total,country_total,689,168,139,64,,inrb_umie_2026_06_13_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 6f156b6 du 2026-06-13; donnees preliminaires; deces suspects repris a 64 apres plusieurs jours sans communication; forte baisse depuis 242 liee a revision/reclassement ou changement de definition cote source.
ct_20260613_drc_inrb_umie,2026-06-13,drc_total,country_total,782,136,181,49,,inrb_umie_2026_06_16_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 3605d5a du 2026-06-16; donnees preliminaires; 12 juin non publie par la source (cadence SitRep); baisse des suspects liee a revision/reclassement ou definition.
ct_20260614_drc_inrb_umie,2026-06-14,drc_total,country_total,808,165,192,54,,inrb_umie_2026_06_16_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 3605d5a du 2026-06-16; donnees preliminaires.
ct_20260615_drc_inrb_umie,2026-06-15,drc_total,country_total,837,235,196,,,inrb_umie_2026_06_17_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 65b3363 du 2026-06-17; donnees preliminaires; deces suspects non communique(s) (ND).
ct_20260616_drc_inrb_umie,2026-06-16,drc_total,country_total,875,192,202,,,inrb_umie_2026_06_21_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot ca17916 du 2026-06-21; donnees preliminaires; baisse de cas suspects liee a revision/reclassement ou changement de definition cote source; deces suspects non communique(s) (ND).
ct_20260617_drc_inrb_umie,2026-06-17,drc_total,country_total,896,151,232,35,,inrb_umie_2026_06_21_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot ca17916 du 2026-06-21; donnees preliminaires; baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260618_drc_inrb_umie,2026-06-18,drc_total,country_total,933,238,245,54,,inrb_umie_2026_06_21_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot ca17916 du 2026-06-21; donnees preliminaires.
ct_20260619_drc_inrb_umie,2026-06-19,drc_total,country_total,956,162,247,47,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260620_drc_inrb_umie,2026-06-20,drc_total,country_total,1003,201,254,30,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260621_drc_inrb_umie,2026-06-21,drc_total,country_total,1048,202,267,60,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260622_drc_inrb_umie,2026-06-22,drc_total,country_total,1094,131,277,44,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260623_drc_inrb_umie,2026-06-23,drc_total,country_total,1118,138,291,45,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260624_drc_inrb_umie,2026-06-24,drc_total,country_total,1155,154,304,40,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260625_drc_inrb_umie,2026-06-25,drc_total,country_total,1203,265,321,77,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260627_drc_inrb_umie,2026-06-27,drc_total,country_total,1274,239,360,70,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; jour(s) entre le 2026-06-25 et le 2026-06-27 non publie(s) par la source (cadence SitRep); baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260629_drc_inrb_umie,2026-06-29,drc_total,country_total,1333,309,399,90,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; jour(s) entre le 2026-06-27 et le 2026-06-29 non publie(s) par la source (cadence SitRep).
ct_20260630_drc_inrb_umie,2026-06-30,drc_total,country_total,1406,301,438,90,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260701_drc_inrb_umie,2026-07-01,drc_total,country_total,1460,150,452,41,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260702_drc_inrb_umie,2026-07-02,drc_total,country_total,1502,213,473,63,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260703_drc_inrb_umie,2026-07-03,drc_total,country_total,1528,185,492,67,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260704_drc_inrb_umie,2026-07-04,drc_total,country_total,1561,354,506,110,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260705_drc_inrb_umie,2026-07-05,drc_total,country_total,1624,135,521,23,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260706_drc_inrb_umie,2026-07-06,drc_total,country_total,1708,237,580,70,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260707_drc_inrb_umie,2026-07-07,drc_total,country_total,1759,304,600,92,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260708_drc_inrb_umie,2026-07-08,drc_total,country_total,1792,227,625,60,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects et deces suspects liee a revision/reclassement ou changement de definition cote source.
ct_20260709_drc_inrb_umie,2026-07-09,drc_total,country_total,1830,284,648,81,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260710_drc_inrb_umie,2026-07-10,drc_total,country_total,1873,299,672,91,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260711_drc_inrb_umie,2026-07-11,drc_total,country_total,1926,299,702,91,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires.
ct_20260713_drc_inrb_umie,2026-07-13,drc_total,country_total,2011,268,754,,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; jour(s) entre le 2026-07-11 et le 2026-07-13 non publie(s) par la source (cadence SitRep); baisse de cas suspects liee a revision/reclassement ou changement de definition cote source; deces suspects non communique(s) (ND).
ct_20260715_drc_inrb_umie,2026-07-15,drc_total,country_total,2124,389,828,,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; jour(s) entre le 2026-07-13 et le 2026-07-15 non publie(s) par la source (cadence SitRep); deces suspects non communique(s) (ND).
ct_20260717_drc_inrb_umie,2026-07-17,drc_total,country_total,2267,236,893,,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; jour(s) entre le 2026-07-15 et le 2026-07-17 non publie(s) par la source (cadence SitRep); baisse de cas suspects liee a revision/reclassement ou changement de definition cote source; deces suspects non communique(s) (ND).
ct_20260718_drc_inrb_umie,2026-07-18,drc_total,country_total,2344,192,930,,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; baisse de cas suspects liee a revision/reclassement ou changement de definition cote source; deces suspects non communique(s) (ND).
ct_20260719_drc_inrb_umie,2026-07-19,drc_total,country_total,2423,252,967,,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; deces suspects non communique(s) (ND).
ct_20260720_drc_inrb_umie,2026-07-20,drc_total,country_total,2473,322,999,,,inrb_umie_2026_08_31_snapshot,high,provisional,Bilan national INRB-UMIE/INSP; snapshot 56e9ee6 du 2026-08-31; donnees preliminaires; deces suspects non communique(s) (ND).
