date,upstream_nom,upstream_metric,upstream_value,mapped_entity_id,mapped_field,upstream_file,upstream_commit,snapshot_date,sitrep_id,import_status,notes
2026-05-14,DRC,national_cumulative_confirmed_cases,8,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-30,DRC,national_cumulative_confirmed_cases,282,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-31,DRC,national_cumulative_confirmed_cases,321,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-01,DRC,national_cumulative_confirmed_cases,344,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-02,DRC,national_cumulative_confirmed_cases,363,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-03,DRC,national_cumulative_confirmed_cases,381,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-04,DRC,national_cumulative_confirmed_cases,452,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-05,DRC,national_cumulative_confirmed_cases,488,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-06,DRC,national_cumulative_confirmed_cases,515,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-07,DRC,national_cumulative_confirmed_cases,550,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-08,DRC,national_cumulative_confirmed_cases,598,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-09,DRC,national_cumulative_confirmed_cases,635,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-10,DRC,national_cumulative_confirmed_cases,676,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-11,DRC,national_cumulative_confirmed_cases,689,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-13,DRC,national_cumulative_confirmed_cases,782,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-14,DRC,national_cumulative_confirmed_cases,808,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-15,DRC,national_cumulative_confirmed_cases,837,drc_total,confirmed_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-14,DRC,national_cumulative_suspected_cases,246,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
